Center-X(mm),Center-Y(mm),Rotation,Designator,P/N,Supplier Part Number 1,Footprint
-144.78,137.16,0,FID1,FID,,FID
0,0,0,FID3,FID,,FID
-38.353,23.862,180,C14,1276-1936-1-ND,1276-1936-1-ND,C0603
-136.5,120.269,90,C15A,1276-1936-1-ND,1276-1936-1-ND,C0603
-136.5,110.693,90,C15B,1276-1936-1-ND,1276-1936-1-ND,C0603
-14.072,81.026,180,C15C,1276-1936-1-ND,1276-1936-1-ND,C0603
-28.804,80.518,180,C15D,1276-1936-1-ND,1276-1936-1-ND,C0603
-57.709,101.702,180,C16,1276-1936-1-ND,1276-1936-1-ND,C0603
-52.832,25.654,180,C5,1276-1936-1-ND,1276-1936-1-ND,C0603
-41.656,66.294,0,C6,1276-1936-1-ND,1276-1936-1-ND,C0603
-67.564,68.834,180,C7,1276-1936-1-ND,1276-1936-1-ND,C0603
-43.18,48.514,0,C8,1276-1936-1-ND,1276-1936-1-ND,C0603
-56.642,23.114,0,C4,399-4925-1-ND,399-4925-1-ND,C0805
-99.314,119.126,90,C1,445-7998-1-ND,445-7998-1-ND,C2220
-56.261,130.937,0,C10,445-7998-1-ND,445-7998-1-ND,C2220
-23.114,115.392,0,C2,445-7998-1-ND,445-7998-1-ND,C2220
-23.114,121.361,0,C3,445-7998-1-ND,445-7998-1-ND,C2220
-56.261,124.079,0,C9,445-7998-1-ND,445-7998-1-ND,C2220
-138.636,67.992,180,C11,490-1519-1-ND,490-1519-1-ND,C0603
-131.724,126.34,90,C13A,490-3897-1-ND,490-3897-1-ND,C0603
-131.724,116.383,90,C13B,490-3897-1-ND,490-3897-1-ND,C0603
-19.422,87.63,90,C13C,490-3897-1-ND,490-3897-1-ND,C0603
-34.061,87.63,90,C13D,490-3897-1-ND,490-3897-1-ND,C0603
-139.144,78.914,180,C12,478-3039-1-ND,478-3039-1-ND,*CTANT68
-92.422,111.481,270,Q1,IPD025N06NCT-ND,IPD025N06NCT-ND,*DPAK
-92.422,127.102,270,Q2,IPD025N06NCT-ND,IPD025N06NCT-ND,*DPAK
-110.202,111.481,270,Q3,IPD025N06NCT-ND,IPD025N06NCT-ND,*DPAK
-110.202,127.102,270,Q4,IPD025N06NCT-ND,IPD025N06NCT-ND,*DPAK
-34.163,123.224,0,Q5,FQD9N25TMCT-ND,FQD9N25TMCT-ND,*DPAK
-12.573,123.224,0,Q6,FQD9N25TMCT-ND,FQD9N25TMCT-ND,*DPAK
-34.163,110.27,0,Q7,FQD9N25TMCT-ND,FQD9N25TMCT-ND,*DPAK
-12.573,110.27,0,Q8,FQD9N25TMCT-ND,FQD9N25TMCT-ND,*DPAK
-71.385,51.04,180,D7,160-1643-1-ND,160-1643-1-ND,*LED1206
-71.385,53.58,180,D6,754-1111-1-ND,754-1111-1-ND,*LED1206
-71.385,56.12,180,D5,754-1142-1-ND,754-1142-1-ND,*LED1206
-121.934,119.532,0,R12A,311-30.0HRCT-ND,311-30.0HRCT-ND,R0603
-121.934,109.957,0,R12B,311-30.0HRCT-ND,311-30.0HRCT-ND,R0603
-13.453,95.084,90,R12C,311-30.0HRCT-ND,311-30.0HRCT-ND,R0603
-28.092,95.084,90,R12D,311-30.0HRCT-ND,311-30.0HRCT-ND,R0603
-121.945,123.342,0,R13A,311-30.0HRCT-ND,311-30.0HRCT-ND,R0603
-121.934,113.767,0,R13B,311-30.0HRCT-ND,311-30.0HRCT-ND,R0603
-17.17,95.072,90,R13C,311-30.0HRCT-ND,311-30.0HRCT-ND,R0603
-31.902,95.072,90,R13D,311-30.0HRCT-ND,311-30.0HRCT-ND,R0603
-32.98,65.366,0,R16A,YAG2311CT-ND,YAG2311CT-ND,R0603
-32.98,59.727,0,R16B,YAG2311CT-ND,YAG2311CT-ND,R0603
-32.98,53.936,0,R16C,YAG2311CT-ND,YAG2311CT-ND,R0603
-32.98,42.734,0,R16D,YAG2311CT-ND,YAG2311CT-ND,R0603
-32.98,48.246,0,R16E,YAG2311CT-ND,YAG2311CT-ND,R0603
-32.98,62.826,180,R17A,YAG1582CT-ND,YAG1582CT-ND,R0603
-32.98,57.187,180,R17B,YAG1582CT-ND,YAG1582CT-ND,R0603
-32.98,51.523,180,R17C,YAG1582CT-ND,YAG1582CT-ND,R0603
-32.98,40.22,180,R17D,YAG1582CT-ND,YAG1582CT-ND,R0603
-32.98,45.909,180,R17E,YAG1582CT-ND,YAG1582CT-ND,R0603
-69.886,40.88,180,R19,311-100HRCT-ND,311-100HRCT-ND,R0603
-38.354,21.322,0,R4,311-10.0KHRCT-ND,311-10.0KHRCT-ND,R0603
-38.354,18.782,0,R5,311-100HRCT-ND,311-100HRCT-ND,R0603
-38.354,28.942,0,R6,311-100HRCT-ND,311-100HRCT-ND,R0603
-38.354,26.402,0,R7,311-100HRCT-ND,311-100HRCT-ND,R0603
-76.465,51.04,0,R10,P255CCT-ND,P255CCT-ND,R0805
-66.795,91.719,180,R11A,311-1.00MCRCT-ND,311-1.00MCRCT-ND,R0805
-71.711,91.719,180,R11B,311-1.00MCRCT-ND,311-1.00MCRCT-ND,R0805
-76.803,91.719,180,R11C,311-1.00MCRCT-ND,311-1.00MCRCT-ND,R0805
-66.795,89.611,0,R20A,311-49.9KCRCT-ND,311-49.9KCRCT-ND,R0805
-71.711,89.611,0,R20B,311-49.9KCRCT-ND,311-49.9KCRCT-ND,R0805
-76.803,89.611,0,R20C,311-49.9KCRCT-ND,311-49.9KCRCT-ND,R0805
-76.465,56.12,0,R8,P255CCT-ND,P255CCT-ND,R0805
-76.465,53.58,0,R9,P255CCT-ND,P255CCT-ND,R0805
-19.214,134.645,180,R14A,311-1MNICT-ND,311-1MNICT-ND,R1210
-25.167,108.954,90,R14B,311-1MNICT-ND,311-1MNICT-ND,R1210
-53.086,115.812,90,R14C,311-1MNICT-ND,311-1MNICT-ND,R1210
-40.628,143.256,180,R14D,311-1MNICT-ND,311-1MNICT-ND,R1210
-13.526,134.645,180,R15A,311-15.0KFRCT-ND,311-15.0KFRCT-ND,R1210
-21.061,108.978,270,R15B,311-15.0KFRCT-ND,311-15.0KFRCT-ND,R1210
-48.768,115.836,270,R15C,311-15.0KFRCT-ND,311-15.0KFRCT-ND,R1210
-40.628,137.719,0,R15D,311-15.0KFRCT-ND,311-15.0KFRCT-ND,R1210
-119.685,132.944,270,R2,311-0.003AGCT-ND,311-0.003AGCT-ND,R2512
-48.082,103.327,0,R3,311-.033TCT-ND,311-.033TCT-ND,R2512
-50.673,136.449,0,D1,US1G-E3/5ATGICT-ND,US1G-E3/5ATGICT-ND,*SMA
-50.673,140.284,0,D2,US1G-E3/5ATGICT-ND,US1G-E3/5ATGICT-ND,*SMA
-61.697,136.449,0,D3,US1G-E3/5ATGICT-ND,US1G-E3/5ATGICT-ND,*SMA
-61.697,140.284,0,D4,US1G-E3/5ATGICT-ND,US1G-E3/5ATGICT-ND,*SMA
-138.938,121.412,270,D8A,US1G-E3/5ATGICT-ND,US1G-E3/5ATGICT-ND,*SMA
-138.938,111.76,270,D8B,US1G-E3/5ATGICT-ND,US1G-E3/5ATGICT-ND,*SMA
-15.358,77.978,0,D8C,US1G-E3/5ATGICT-ND,US1G-E3/5ATGICT-ND,*SMA
-29.997,77.978,0,D8D,US1G-E3/5ATGICT-ND,US1G-E3/5ATGICT-ND,*SMA
-129.388,121.437,90,U6A,IR2181SPBFCT-ND,IR2181SPBFCT-ND,SP8P
-129.388,111.862,90,U6B,IR2181SPBFCT-ND,IR2181SPBFCT-ND,SP8P
-15.24,88.646,180,U6C,IR2181SPBFCT-ND,IR2181SPBFCT-ND,SP8P
-29.972,88.646,180,U6D,IR2181SPBFCT-ND,IR2181SPBFCT-ND,SP8P
-59.436,97.79,270,U2,MAX4377FASA+-ND,MAX4377FASA+-ND,SP8P
-139.373,72.691,90,U5,576-1274-1-ND,576-1274-1-ND,SOT223
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
